<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AAME,20120514,2.85,2.85,2.66,2.81,8500
AAON,20120514,8.3778,8.5467,8.3778,8.4755,80700
AAPL,20120514,80.3671,81.0729,79.6571,79.7457,12771600
AAWW,20120514,48.57,49.33,48.08,48.22,225700
AAXJ,20120514,52.85,52.96,52.49,52.61,403800
ABAX,20120514,34.36,34.89,34.29,34.56,116000
ABCB,20120514,12.27,12.44,12.19,12.19,34800
ABCD,20120514,1.91,2.03,1.68,1.77,58100
ABCO,20120514,46.4,47.02,46.4,46.93,133300
ABIO,20120514,21.84,22.26,19.32,21.84,65400
ABMD,20120514,22.88,23.55,22.53,23.14,643700
ABTL,20120514,3.75,3.9,3.75,3.85,145400
ACAD,20120514,1.52,1.63,1.5,1.59,362500
ACAS,20120514,9.57,9.68,9.52,9.54,2511900
ACAT,20120514,41.74,43.73,40.7,42.31,353700
ACET,20120514,8.32,8.47,8.3,8.44,86300
ACFC,20120514,2.2,2.2,2.2,2.2,900
ACGL,20120514,39.03,39.15,38.65,38.66,420900
ACHC,20120514,15.33,15.78,14.82,15.08,94000
ACHN,20120514,7.11,7.18,6.88,6.89,408600
ACIW,20120514,13.2833,13.5,13.24,13.4233,340900
ACLS,20120514,4.72,4.8,4.6,4.64,419000
ACNB,20120514,14.78,14.78,14.78,14.78,600
ACOR,20120514,23.65,24.07,23.5,23.59,213300
ACPW,20120514,4.55,4.6,4.2,4.25,433500
ACRX,20120514,3.72,3.75,3.5,3.5,2600
ACTG,20120514,37.7,37.75,36.3,36.62,468200
ACTS,20120514,1.63,1.67,1.63,1.67,84500
ACUR,20120514,2.81,2.83,2.6,2.6,90500
ACWI,20120514,43.98,44.24,43.94,43.99,249500
ACWX,20120514,37.52,37.57,37.3,37.3,106400
ACXM,20120514,12.84,13.34,12.75,13.05,282400
ADBE,20120514,31.81,32.52,31.67,32.23,3133300
ADES,20120514,14.39,14.53,13.76,13.87,103100
ADI,20120514,37,37.31,36.76,37.19,1238300
ADP,20120514,46.8219,47.1906,46.5408,46.8832,1824500
ADRA,20120514,23.67,23.67,23.49,23.59,6400
ADRD,20120514,18.68,18.74,18.59,18.66,35700
ADRE,20120514,38.06,38.19,37.88,37.88,25300
ADRU,20120514,18.7,18.7,18.7,18.7,0
ADSK,20120514,35.81,36.49,35.72,35.93,1709100
ADTN,20120514,29.95,30.19,29.64,29.72,624700
ADUS,20120514,4.34,4.35,4.13,4.13,9000
AEGN,20120514,17.58,17.82,17.4,17.56,178200
AEGR,20120514,13.72,13.96,13.66,13.8,26500
AEHR,20120514,1.27,1.27,1.2,1.21,2500
AEIS,20120514,13.17,13.62,13.13,13.48,521800
AEPI,20120514,33.81,34.47,33.76,34.1,25900
AETI,20120514,4.48,4.55,4.33,4.55,6100
AEY,20120514,2.47,2.48,2.31,2.35,11800
AEZS,20120514,336,342,324,330,907400
AFAM,20120514,22.15,22.3,21.62,21.95,94500
AFSI,20120514,14.165,14.285,14.045,14.2,316900
AGEN,20120514,5.66,6.45,5.66,6.32,363000
AGII,20120514,28.25,28.59,28.25,28.48,78000
AGNC,20120514,32.3,32.33,31.9,32.16,6476900
AGNCP,20120514,25.49,25.64,25.47,25.56,62400
AGYS,20120514,8.65,8.75,8.65,8.66,60200
AHGP,20120514,43.83,43.83,42.65,43.09,42400
AHPI,20120514,3.09,3.21,3.07,3.07,7300
AIMC,20120514,17.07,17.42,16.85,16.97,85400
AINV,20120514,7.13,7.2,7.12,7.12,1023600
AIRM,20120514,30.8733,31.0833,30.79,30.9433,47200
AIRT,20120514,9.4,9.46,9.4,9.45,2700
AIXG,20120514,16.51,16.62,16.21,16.35,131400
AKAM,20120514,30.75,30.8,29.62,29.66,5465700
AKRX,20120514,12.6,13.09,12.57,12.95,1325600
ALCO,20120514,22.26,22.62,21.74,22.36,22000
ALGN,20120514,30.63,30.84,30.26,30.59,741000
ALGT,20120514,63.67,64.17,63.67,63.87,218300
ALIM,20120514,2.65,2.68,2.56,2.62,71200
ALKS,20120514,17.99,18.23,17.8,17.98,713500
ALLT,20120514,23.44,24,23.4,23.48,351600
ALNY,20120514,10.53,10.7,10.37,10.61,203700
ALOG,20120514,66.5,67.22,66.5,66.62,46500
ALOT,20120514,8.29,8.29,8.12,8.12,1000
ALSK,20120514,2.24,2.25,2,2.06,994100
ALXN,20120514,85.96,86.39,85.31,86.02,905600
AMAG,20120514,13.06,13.23,12.98,12.99,208000
AMAT,20120514,10.91,11.04,10.85,10.95,9366600
AMCC,20120514,5.54,5.63,5.47,5.47,475400
AMCN,20120514,2.6,2.61,2.15,2.32,68500
AMCX,20120514,41.46,42.63,41.39,42.35,302000
AMD,20120514,6.69,6.89,6.63,6.75,13395000
AMED,20120514,10.4,10.46,10.13,10.17,579500
AMGN,20120514,69.95,70.71,69.58,70.2,4257400
AMKR,20120514,4.67,4.77,4.6,4.62,685600
AMNB,20120514,23.24,23.25,22.93,23.21,7200
AMOT,20120514,6.25,6.36,6.07,6.19,68200
AMOV,20120514,24.9,24.98,24.72,24.72,5500
AMRB,20120514,7.2,7.39,7.06,7.39,7600
AMRI,20120514,3.01,3.05,3.01,3.01,75100
AMRN,20120514,11.48,11.56,11.2,11.23,2053300
AMRS,20120514,2.02,2.08,1.86,1.9,650700
AMSC,20120514,39.4,40.2,38.8,39.1,249800
AMSF,20120514,26.46,26.91,26.46,26.54,65400
AMSG,20120514,27.67,28.05,27.57,27.96,131700
AMSWA,20120514,8.4,8.51,8.24,8.25,66300
AMWD,20120514,16.26,17.03,16.26,16.44,20600
AMZN,20120514,225.6,227.29,222.51,222.93,3187300
ANAT,20120514,70.07,70.52,69.05,69.87,18600
ANCB,20120514,10.75,10.75,10.75,10.75,1100
ANCX,20120514,12.73,12.87,12,12.53,22700
ANDA,20120514,9.8,9.8,9.8,9.8,300
ANDAU,20120514,9.98,9.98,9.98,9.98,6000
ANDE,20120514,31.8,32.6467,31.8,32.0333,149100
ANGI,20120514,14.36,14.67,13.9,14.01,145100
ANGO,20120514,12.16,12.34,12.12,12.28,65000
ANIK,20120514,12.83,13.89,12.5,13.29,336500
ANSS,20120514,61.07,62.84,60.72,62.5,685700
ANTH,20120514,15.36,17.68,15.36,16.96,533500
AOSL,20120514,9.61,9.82,9.61,9.8,38500
APEI,20120514,27.76,28.06,26.85,26.98,544400
APOG,20120514,15.87,16.26,15.78,16.06,156500
APOL,20120514,31.1,32.14,31.1,31.93,2087500
APPY,20120514,30.72,32.16,28.32,31.68,28800
APRI,20120514,27.2,27.4,26.7,27,120200
APWC,20120514,3,3,3,3,0
ARAY,20120514,6.32,6.5,6.31,6.41,331700
ARCC,20120514,15.56,15.92,15.4,15.44,2012100
ARCI,20120514,4.16,4.16,3.8,4.14,8300
ARCW,20120514,1.22,1.22,1.22,1.22,0
AREX,20120514,29.21,30.01,28.67,29.29,465600
ARIA,20120514,16.8,17.28,16.75,17.01,2623500
ARII,20120514,23.21,23.71,22.91,22.94,97100
ARKR,20120514,14.96,14.99,14.96,14.99,1500
ARLP,20120514,28.82,29.495,28.82,29.06,74400
ARNA,20120514,6.49,6.88,6.36,6.61,25974800
AROW,20120514,23.64,23.74,23.53,23.55,23600
ARQL,20120514,6.42,6.55,6.18,6.47,591400
ARRS,20120514,12.38,12.54,12.34,12.44,518400
ARRY,20120514,3.44,3.54,3.39,3.48,922100
ARTNA,20120514,19.39,19.6,19.27,19.5,32400
ARTW,20120514,7.23,7.28,7.12,7.12,7800
ARTX,20120514,1.14,1.24,1.14,1.18,3900
ARWR,20120514,5.02,5.24,4.85,4.85,19100
ASBB,20120514,14.25,14.25,14.25,14.25,1100
ASCMA,20120514,50.98,51.86,50.72,51.11,29900
ASFI,20120514,8.73,8.94,8.49,8.92,19100
ASML,20120514,47.02,47.53,46.69,47.16,2367800
ASNA,20120514,20.31,20.62,20.11,20.11,1285300
ASPS,20120514,56.54,56.78,55.55,56.14,57000
ASRV,20120514,3.01,3.04,2.92,3,12000
ASRVP,20120514,26.25,26.25,26.25,26.25,0
ASTC,20120514,1.27,1.29,1.17,1.27,127100
ASTE,20120514,28.56,30.04,28.43,29.74,363600
ASUR,20120514,5.01,5.18,5,5.18,3900
ASYS,20120514,5.35,5.35,5,5.11,285200
ATAI,20120514,6.51,6.51,6.5,6.5,2100
