<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AAME,20130826,3.93,3.93,3.83,3.92,10100
AAON,20130826,16.4,16.74,16.22,16.2933,79700
AAPL,20130826,71.5357,72.8857,71.5,71.8529,11820100
AAWW,20130826,47.49,48.44,47.4,48,139400
AAXJ,20130826,55.07,55.07,54.42,54.51,561000
ABAX,20130826,41.72,42.24,41.13,41.25,79800
ABCB,20130826,19.42,19.68,18.93,19.44,86500
ABCD,20130826,1.54,1.6,1.52,1.57,81400
ABCO,20130826,56.95,58.49,56.57,58.22,221300
ABIO,20130826,9.45,9.45,9.24,9.38,35300
ABMD,20130826,22.41,23.44,22.26,23.19,256200
ABTL,20130826,5.99,6.05,5.85,6.03,29800
ACAD,20130826,20.58,21.45,20.51,20.9,2106900
ACAS,20130826,13.01,13.13,12.88,12.88,1845900
ACAT,20130826,57.19,57.5,56.29,56.68,83600
ACET,20130826,16.03,16.1,15.79,15.91,139100
ACFC,20130826,4.21,4.23,4.21,4.23,1600
ACGL,20130826,53.4,53.73,53.13,53.24,169400
ACHC,20130826,38.03,38.5,37.36,38.47,199400
ACHN,20130826,6.66,6.68,6.53,6.58,1265800
ACIW,20130826,16.4467,16.62,16.34,16.39,144500
ACLS,20130826,7.88,8.08,7.72,7.88,427900
ACNB,20130826,17.43,17.5,17.43,17.48,2800
ACOR,20130826,34.36,35.51,33.89,34.66,241000
ACPW,20130826,3.55,3.63,3.51,3.57,78300
ACRX,20130826,9.91,10.49,9.91,10.07,452400
ACST,20130826,28.1,28.6,26.5,26.5,5900
ACTG,20130826,22.01,22.68,21.96,22.51,483700
ACTS,20130826,2.66,2.7,2.65,2.7,24000
ACUR,20130826,1.8,1.94,1.8,1.87,248300
ACWI,20130826,52.33,52.43,52.05,52.1,796300
ACWX,20130826,42.98,43.11,42.86,42.86,227500
ACXM,20130826,25.34,26.05,25.21,25.82,389300
ADBE,20130826,46.25,46.61,46.01,46.06,2591700
ADES,20130826,20.32,20.645,19.645,19.905,57100
ADHD,20130826,13.8,13.8,13.22,13.49,24500
ADI,20130826,47.26,47.63,47.14,47.22,1302900
ADP,20130826,61.3609,63.6348,61.3609,63.2397,1099100
ADRA,20130826,27.95,27.95,27.95,27.95,0
ADRD,20130826,22.97,23.16,22.97,23.03,8700
ADRE,20130826,35.62,35.62,35.09,35.09,10000
ADRU,20130826,22.82,22.82,22.64,22.64,3700
ADSK,20130826,38.59,39.24,37.74,37.89,6674800
ADTN,20130826,24.84,25.02,24.57,24.77,205600
ADUS,20130826,20.97,21.41,20.77,21.03,99300
AEGN,20130826,21.88,22.54,21.81,22.45,117900
AEGR,20130826,89.08,92.51,88.38,91.43,222700
AEHR,20130826,1.69,1.69,1.69,1.69,0
AEIS,20130826,18.97,18.97,18.68,18.85,287800
AEPI,20130826,77.99,79.33,77.99,78.56,89100
AETI,20130826,7.03,7.26,6.87,7,55700
AEY,20130826,2.45,2.48,2.43,2.44,41000
AEZS,20130826,146,149,146,147,286700
AFAM,20130826,19.27,19.61,19.27,19.4,11900
AFH,20130826,10.18,10.39,9.9,9.9,27500
AFSI,20130826,18.8,19.025,18.745,18.75,315100
AGEN,20130826,3.89,3.91,3.8,3.85,232600
AGII,20130826,42.87,43.03,42.19,42.56,91900
AGIIL,20130826,22.65,22.79,22.57,22.75,19000
AGIO,20130826,25.75,26.46,25.5,25.6,115300
AGNC,20130826,22.9,22.97,22.61,22.65,4801900
AGNCP,20130826,25.05,25.22,24.87,25.22,71000
AGYS,20130826,11.4,11.62,11.17,11.28,64700
AHGP,20130826,62.45,63.4,61.65,62.22,32700
AHPI,20130826,2.48,2.5,2.48,2.48,1000
