<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AAME,20110623,2,2.02,1.88,2.02,18000
AAON,20110623,9.5955,9.7067,9.4133,9.68,57800
AAPL,20110623,45.5629,47.3843,45.4457,47.3186,19991300
AAWW,20110623,58.28,58.53,56.57,58.34,194200
AAXJ,20110623,59.25,59.77,58.87,59.77,844600
ABAX,20110623,28.13,28.49,27.6,28.39,43600
ABCB,20110623,8.71,8.89,8.65,8.76,43400
ABCD,20110623,3.19,3.25,3,3.24,48300
ABCO,20110623,26.325,26.71,26.05,26.65,45300
ABIO,20110623,63,64.68,60.9,63.42,136400
ABMD,20110623,16.33,16.33,15.86,16.19,191400
ABTL,20110623,4.9,5,4.75,4.9,62200
ACAD,20110623,1.57,1.62,1.56,1.61,89300
ACAS,20110623,8.92,9.25,8.76,9.25,5654700
ACAT,20110623,12.41,13.13,12.29,13.04,38500
ACET,20110623,6.28,6.57,6.11,6.21,186200
ACFC,20110623,6.91,6.95,6.75,6.75,1000
ACGL,20110623,32.3,32.34,31.86,32.31,633400
ACHN,20110623,7.1,7.55,6.91,7.03,2706600
ACIW,20110623,10.0767,10.41,10,10.3667,212700
ACLS,20110623,6.4,6.52,6.28,6.44,643300
ACNB,20110623,15.28,15.3,15.28,15.3,300
ACOR,20110623,32.14,32.71,31.63,32.62,274600
ACPW,20110623,12.3,12.6,11.55,12.3,526500
ACRX,20110623,4.46,4.55,4.34,4.49,5600
ACTG,20110623,32.32,34.38,32.12,34.08,261000
ACTS,20110623,1.95,1.99,1.94,1.99,53100
ACUR,20110623,3.89,3.91,3.7,3.73,455600
ACWI,20110623,46.05,46.54,45.8,46.5,205000
ACWX,20110623,42.8,43.21,42.47,43.19,83200
ACXM,20110623,12.07,12.26,11.84,12.19,331600
ADBE,20110623,29.67,30.48,29.63,30.44,8867900
ADES,20110623,7.6,7.705,7.575,7.62,14200
ADI,20110623,36.88,38.04,36.69,37.98,3872700
ADP,20110623,45.5136,45.619,45.0835,45.5839,4240900
ADRA,20110623,26.15,26.45,26.15,26.45,1800
ADRD,20110623,21.13,21.36,21.03,21.36,7600
ADRE,20110623,44.05,44.52,43.79,44.47,139900
ADRU,20110623,20.99,21.07,20.85,21.07,1500
ADSK,20110623,36.05,37.23,35.87,37.17,3687700
ADTN,20110623,37.38,38.75,37.2,38.58,479600
ADUS,20110623,5.38,5.39,4.95,5.06,55400
AEGR,20110623,16.81,17.47,15.54,15.55,274100
AEHR,20110623,1.29,1.3,1.23,1.3,1100
AEIS,20110623,13.59,13.76,13.31,13.69,572000
AEPI,20110623,28.36,28.99,27.69,28.88,35700
AETI,20110623,3.45,3.45,3.25,3.43,4600
AEY,20110623,2.53,2.58,2.52,2.57,9500
AEZS,20110623,1296,1362,1284,1350,1389900
AFAM,20110623,25.16,26,24.65,25.84,112500
AFSI,20110623,10.975,11.125,10.875,11.055,146300
AGEN,20110623,0.81,0.82,0.78,0.8,290200
AGII,20110623,28.57,28.91,28.29,28.67,166700
AGNC,20110623,28.27,28.86,28.25,28.64,40607400
AGYS,20110623,7.92,8.16,7.78,8.13,143900
AHGP,20110623,46.53,47.32,45.84,47.17,34300
AHPI,20110623,4.09,4.09,4.09,4.09,0
AIMC,20110623,22.96,23.91,22.65,23.91,134300
AINV,20110623,9.82,9.91,9.59,9.91,1989900
AIRM,20110623,23.5,24.5933,23.0267,24.4567,164700
AIRT,20110623,8.95,9.17,8.75,9.17,7600
AIXG,20110623,32.97,33.99,32.92,33.99,343100
AKAM,20110623,29.42,29.86,28.98,29.84,5092500
