<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AAME,20110819,1.98,1.98,1.76,1.81,4000
AAON,20110819,7.08,7.4355,7.08,7.1067,117400
AAPL,20110819,51.7386,52.4286,50.8571,50.8614,27710000
AAWW,20110819,42.4,42.4,39.66,41.51,331900
AAXJ,20110819,52.74,53.89,52.67,52.72,398000
ABAX,20110819,22.12,23.27,21.66,22.25,165200
ABCB,20110819,9,9.16,8.94,9.03,170800
ABCD,20110819,2.82,2.9,2.78,2.83,45100
ABCO,20110819,28.09,28.955,27.795,28.495,98900
ABIO,20110819,47.04,51.66,44.1,50.82,20100
ABMD,20110819,11.21,11.99,11.21,11.63,210700
ABTL,20110819,4.3,4.35,4.2,4.25,59700
ACAD,20110819,1.32,1.4,1.32,1.34,367600
ACAS,20110819,7.79,8.06,7.63,7.75,7071900
ACAT,20110819,12.48,13.06,12.35,12.54,95600
ACET,20110819,5.29,5.47,5.08,5.12,143700
ACFC,20110819,3.62,3.93,3.46,3.64,8100
ACGL,20110819,32.62,32.95,32.29,32.37,752800
ACHN,20110819,5.07,5.48,5.07,5.31,361900
ACIW,20110819,9.38,9.83,9.2767,9.34,211900
ACLS,20110819,5.16,5.44,5.08,5.2,631200
ACNB,20110819,14.2,14.2,14.1,14.16,1200
ACOR,20110819,24.48,25.68,24.41,25.15,637300
ACPW,20110819,6.75,7,6.5,6.55,385300
ACRX,20110819,3.43,3.5,3.43,3.45,400
ACTG,20110819,33.04,35.25,32.39,34.31,926500
ACTS,20110819,1.91,1.94,1.85,1.89,15600
ACUR,20110819,2.97,3.25,2.84,3.17,99000
ACWI,20110819,40.89,41.79,40.55,40.56,825000
ACWX,20110819,37.68,38.56,37.44,37.51,120800
ACXM,20110819,9.35,9.63,9.2,9.4,825500
ADBE,20110819,23.12,23.67,22.67,22.69,7304400
ADES,20110819,6.985,7.245,6.885,7.125,30000
ADI,20110819,30.55,32.02,30.5,30.8,8084200
ADP,20110819,40.2722,41.317,40.2108,40.6673,6197000
ADRA,20110819,23.67,24.17,23.65,23.72,2100
ADRD,20110819,18.78,19.1,18.59,18.64,46600
ADRE,20110819,39.34,40.28,39.19,39.29,67200
ADRU,20110819,17.67,18.58,17.67,18.19,3300
ADSK,20110819,27.3,27.4,22.99,23.41,19673500
ADTN,20110819,27,27.92,26.73,27.1,862200
ADUS,20110819,4.71,4.84,4.5,4.5,18200
AEGR,20110819,13.58,14.25,13.19,13.22,155200
AEHR,20110819,1.21,1.21,1.21,1.21,200
AEIS,20110819,9,9.42,8.95,9.04,578800
AEPI,20110819,23.75,24.61,23.75,24.16,29300
